"town","address","tower_type","height","carrier_1","carrier_2","carrier_3","carrier_4","carrier_5","carrier_6","carrier_7","carrier_8","carrier_9"
"East Lyme","*** Boston Post Road","water tower","70","Sprint @ 59'",,,,,,,,
"West Haven","*** Boston Post Road","utility pole","36","AT&T @ 36'",,,,,,,,
"Monroe","*** Old Newtown Road","lattice","293",,,,,,,,,
"Torrington","*** Wright Road","monopole","148","Sprint @ 148'","town @ 153'","Verizon @ 138'","Nextel @ 200'","AT&T @ 128'","T-Mobile @ 114'",,,
"Hamden","*** Circular Avenue","utility pole","42","Verizon @ 42.75'",,,,,,,,
"Windsor","** East Wintonbury Avenue","utility pole","32","Verizon @ 32'",,,,,,,,
"Greenwich","Davis Avenue","utility pole","28","Verizon @ 28'",,,,,,,,
"New Haven","** McKinley Avenue","in-building IP access",,"T-Mobile",,,,,,,,
"Watertown","*** Sunnyside Ave.","power mount","110","Sprint @ 110'",,,,,,,,
"Stamford","** Knapp Street","rooftop",,"Cingular @ 157'","T-Mobile @ 73'",,,,,,,
"East Hartford","**** Main Street","rooftop",,"Verizon @ 61'",,,,,,,,
"New Canaan","Park Street","utility pole","37","Verizon @ 37'",,,,,,,,
"Hamden","**** Wintergreen Ave (West Rock Park)(**** Wintergreen)","self-supporting lattice","250","Verizon @ 180'","marcus @ 250'/180'","Nextel @ 158'","Cingular/AT&T @ 108'","Sprint-Nextel @ 150'",,,,
"New Haven","*** Baldwin Drive(West Rock Ridge/**** Wintergreen Ave)","self-supporting lattice","120","dot/dps @ 120'","Cingular @ 77'","T-Mobile @ 95'","Sprint @ 71'",,,,,
"West Hartford","**** Asylum Avenue (*** Steele Road)","steeple",,"T-Mobile @ 93'",,,,,,,,
"New Haven","Edgewood Avenue","utility pole","24","Verizon @ 24'",,,,,,,,
"Greenwich","** Bowman Drive","water tank","114'",,,,,,,,,
"Stonington","*** Wilcox Road","monopole","100'","T-Mobile @ 97'","Dish @ 86'",,,,,,,
"Tolland","*** Bald Hill Road","self-supporting lattice","180","Cingular/AT&T @ 90'",,,,,,,,
"Southbury","*** Horse Fence Hill Rd.","monopole","150","Verizon @ 111'",,,,,,,,
"New Haven","**** Quinnipiac Ave.","wood utility pole","79","ui @ 79'",,,,,,,,
"Groton","*** Welles Road","monopole","180'","AT&T @ 176'","T-Mobile @ 117 & 108","Dish @ 108","Verizon @ 150'",,,,,
"Hartford","*** Main Street","rooftop",,"Verizon @ 61/58'",,,,,,,,
"Ridgefield","Cooper Hill Rd","power mount","82","T-Mobile @ 97'",,,,,,,,
"Killingly","Welsh Street","utility pole","36","Verizon @ 36'",,,,,,,,
"Meriden","*** Paddock Avenue","monopole","120","T-Mobile @117'","Verizon @ 107'","Dish @ 87'",,,,,,
"Suffield","*** North Street","water tower","85'","Cingular @ 85'","Verizon @ 98'",,,,,,,
"Danbury","Reserve Road","utility pole","23","Verizon @ 37'",,,,,,,,
"Vernon","** Windermere Avenue","small cell","16","Verizon @ 30.2'",,,,,,,,
"Enfield","* Oliver Road","monopole","160","Dish @ 127'",,,,,,,,
"New London","** Neptune Avenue","small cell","43","Verizon @ 40'",,,,,,,,
"Bridgeport","*** Wordin Avenue","rooftop",,"Verizon @ 60'",,,,,,,,
"Watertown","*** Georgetown Drive/Straits Turnpike","water tank","97","Cingular @ 110'","T-Mobile @ 95'","Sprint @ 93'",,,,,,
"Norwich","*** Plain Hill Road","self-supporting lattice",,,,,,,,,,
"New Britain","*** Whiting Street (*** Ellis Street)","smokestack",,"T-Mobile @ 114'","Sprint @ 95'",,,,,,,
"Kent","** Richards Road","monopole","135","AT&T @131'","Verizon @ 121'",,,,,,,
"woodbridge","*** Newton Road","monopole","100","Veriozon @ 100'",,,,,,,,
"Norwalk","** Rowayton Avenue","utility pole","35","Verizon @ 35.8'",,,,,,,,
"Greenwich","Sound Beach Avenue (CL&P #****)","power mount","95","Cingular/AT&T @ 107'",,,,,,,,
"Hartford","** Sigourney Street","rooftop",,"Verizon @ 108'",,,,,,,,
"Bridgeport","**** Boston Avenue (***-*** N. Ridgefield Ave)","rooftop",,"MetroPCS @ 50'","Sprint @48'",,,,,,,
"Meriden","* Undercliff Road","rooftop",,"Sprint @ 85'",,,,,,,,
"Darien","* Tower Drive","water tower","123'","Sprint @ 98'","Nextel @ 90'","Verizon @ 108'","T-Mobile @ 108'",,,,,
"Naugatuck","*** Great Hill Road","water tank",,"Cingular @ 47'","T-Mobile @ 45'",,,,,,,
"South Windsor","**** Ellington Road","water tank","100'","T-Mobile @ 105'","Sprint @80'",,,,,,,
"Hartford","**** Asylum Avenue","tower/rooftop",,,,,,,,,,
"Bridgeport","Berkshire Avenue","utility pole","42","Verizon @ 42.3'",,,,,,,,
"Stamford","** Myrtle Ave","power mount","120","Sprint @ 135'",,,,,,,,
"Weston","** Norfield Rd (Weston Town Hall)","monopole","190","Verizon @ 150'","Cingular @ 160'","T-Mobile @ 175'","Nextel @ 89'",,,,,
"Wolcott","**** Wolcott Road","self-supporting lattice","113'",,,,,,,,,
"Manchester","** Batson Drive","water tank",,"T-Mobile @ 90'",,,,,,,,
