"town","address","tower_type","height","carrier_1","carrier_2","carrier_3","carrier_4","carrier_5","carrier_6","carrier_7","carrier_8","carrier_9"
"West Haven","*** Derby Avenue","rooftop flagpole","49","T-Mobile @ 50'",,,,,,,,
"Groton","** Groton Long Point Rd","self-supporting lattice","140","Verizon @ 140'","Cingular @ 133'","Nextel @ 90'",,,,,,
"Bristol","*** Willis St","self-supporting lattice","120","Verizo @112'",,,,,,,,
"North Stonington","*C Reutemann Road","silo",,,,,,,,,,
"Clinton","*** Killingworth Turnpike","self-supporting lattice","130",,,,,,,,,
"Lebanon","*** Exeter Road","monopole","150","Verizon @ 140'",,,,,,,,
"Hartford","*** Garden Street","rooftop",,"T-Mobile @ 45'",,,,,,,,
"Stamford","**** East Main Street","rooftop",,"MetroPCS",,,,,,,,
"Southington","*** Robert Porter Road","water tank","113'","T-Mobile @ 110'",,,,,,,,
"Meriden","*** South Broad Street","smokestack",,"Sprint @ 100'","Nextel @ 85'","Cingular/AT&T @ 95'","MetroPCS @ 94'",,,,,
"East Hampton","*** Young Street","monopole","140","Cingular @ 120'","Verizon @ 140'","T-Mobile @130'",,,,,,
"Middletown","*** Preston Ave","monopole","150","T-Mobile @ 140'","Sprint @ 130'","Verizon @ 110'","Cingular @ 150'","Diah @ 90",,,,
"Bridgeport","*** Granfield Avenue","utility pole","36","AT&T @ 36'",,,,,,,,
"Putnam","** Industrial Park Drive","self-supporting lattice","196","Cingular/AT&T @ 186'","Verizon @ 176'","Dish @ 166'",,,,,,
"Haddam","*** Hubbard Road","monopole","160","MetroPCS @ 157'",,,,,,,,
"Woodstock","Perrin Rd","guyed lattice","80","tele-media @ 75'",,,,,,,,
"Newington","*** Pane Road","small cell","37","Verizon @ 37'",,,,,,,,
"Danbury","*** White Street","rooftop mounted","60","T-Mobile @ 65'",,,,,,,,
"Norwich","*** Elizabeth Street","rooftop",,"MetroPCS @ 50'",,,,,,,,
"Waterford","* Palmer Road","silhouette pole","88","Cingular/AT&T @ 85/79'","goshen fd @ 65'","MetroPCS @ 87'",,,,,,
"Bloomfield","**** Blue Hills Avenue","steeple",,"T-Mobile @ 93'",,,,,,,,
"New London","Montauk Avenue","utility pole","37","Verizon @ 37'",,,,,,,,
"Bridgeport","*** Pine St","self-supporting lattice","250","T-Mobile @ 180'","metricom @ 124'","Nextel @ 96'","Verizon @ 110'","MetroPCS new york @ 126'","Sprint/Nextel @ 240'","AT&T @ 138'","Dish @ 162'",
"Granby","* Upper Meadow Road","monopole","150","Cingular/AT&T @ 150'","Verizon @ 137'","Dish @ 125'","AT&T @ 135'","T-Mobile @ 115'",,,,
"Trumbull","Video Lane (*** Booth Hill Road)","guyed lattice","486","T-Mobile @ 244'","Verizon @ 232'/238'","wedw-dtv @ 360'","mediaflo @ 299'","DRW NX@ 450'","Dish @ 186'",,,
"Manchester","Hale Road","utility pole","35","Verizon @ 35.3'",,,,,,,,
"Shelton","Mohegan Road","power mount","79","ui @ 79'",,,,,,,,
"Westport","***A Bayberry La.","monopole","140","Cingular @ 100'","T-Mobile @ 130'","Verizon @ 77'","town @ 140'","Cingular/AT&T @ 110'","cl&p @ 150'","Dish @ 77'",,
"Darien","*** Ledge Rd/*** Ledge","monopole","120","Verizon @ 98'","Cingular @ 86'","Nextel @ 73'","Sprint @ 120'","T-Mobile @ 110'","clearwire @ 73'",,,
"New Haven","*** Pond Lily Avenue","billboard","28","AT&T @ 28'",,,,,,,,
"Madison","*** Ridge Road","monopole","150","T-Mobile @ 147'","Dish @ 99'","Verizon @ 130'",,,,,,
"Winchester","** Oakdale Ave. (*** Oakdale/* Stowe Rd)","monopole","180","Cingular @ 184'/150'","Cingular/AT&T @ 150'","Verizon @ 125'",,,,,,
"North Haven","** Devine Street","monopole","130","MetroPCS @ 117'","AT&T @ 107'","Verizon @ 130'","Dish @ 96'",,,,,
"Branford","*** Pine Orchard Road","monopole","125","T-Mobile @ 122'","AT&T @ 112'","Verizon @ 102'","Dish @ 80",,,,,
"Waterbury","*** Mulloy Road","billboard",,"T-Mobile @ 64'",,,,,,,,
"Brookfield","*** Pocono Road","monopole","150","Verizon @ 148'","DISH @ 130'",,,,,,,
"Newtown","* Primrose Street","small cell","27","Verizon @ 40'",,,,,,,,
"Stratford","** Stonybrook Road","monopole","120","T-Mobile @ 87' and 97'","Verizon @ 77'","AT&T @ 110' and 120'","Dish @ 107'",,,,,
"Durham","***R Creamery Road","monopole","110","Sprint @ 100'","Verizon @ 110'","Dish @ 34'",,,,,,
"Naugatuck","*** Sheridan Drive","water tower",,"Sprint @ 55'",,,,,,,,
"Andover","*** Route *","monopole","150","Cingular/AT&T @ 150'","T-Mobile @ 140'","Verizon @ 130'","DISH @ 120'",,,,,
"Pomfret","** Babbit Hill","monopole","168","Nextel @ 167'","Sprint @ 157'","T-Mobile @ 137'","Cingular @ 147'","Verizon @ 125'",,,,
"Middlefield","** Powder Hill Road","rooftop",,"Verizon @ 40'",,,,,,,,
"Shelton","*** Huntington Street (** Lobsterback Rd)","water tank",,"Verizon @ 84'","T-Mobile @ 74'","Sprint @78'",,,,,,
"New Canaan","**** ponus Ridge Road","monopine","110","AT& @ 106'","Verizon @ 95'",,,,,,,
"Canton","* Market Street","rooftop",,"Cingular @ 86'",,,,,,,,
"Hartford","***-*** Homestead Ave","monopole","140","Verizon @ 138'","T-Mobile @ 125'","Cingular @ 117'","Sprint @ 104'","DISH@ 93'",,,,
"West Hartford","*** Prospect Street","rooftop","55'","Cingular @ 61'","T-Mobile @ 49'",,,,,,,
"Norwich","*** Yantic Lane","monopole","110","Verizon @ 110'",,,,,,,,
"East Lyme","*** Main Street","rooftop",,"T-Mobile @ 55'",,,,,,,,
"Easton","*** Morehouse Road","monopole","150","Verizon @ 145'","AT&T @ 135'","T-Mobile @ 123","DISH @ 113",,,,,
"Columbia","** Thompson Hill Road","monopole","180","Cingular/AT&T @ 140'","T-Mobile @ 160'","Verizon @ 150'",,,,,,
"Bloomfield","Cottage Grove Road","utility pole","24","Verizon @ 30.75'",,,,,,,,
"West Haven","*** Saw Mill Road","in-building IP access",,"T-Mobile",,,,,,,,
"Shelton","*** Bridgeport Avenue","rooftop",,"Verizon @ 75'",,,,,,,,
"Bristol","** East Main Street","rooftop",,"AT&T @ 91'","Verizon @ 78'","Sprint @ 57'",,,,,,
"Tolland","*** Merrow Road","utility pole","23","Verizon @ 23.5'",,,,,,,,
"Orange","*** Orange Center Rd/ High Plains CC","monopole","160","Sprint @ 136'","Verizon @ 158'","Nextel @ 169'","Cingular @ 146'","T-Mobile @ 123'","Dish @ 136'",,,
"Stamford","*** Wardwell Street","utility pole","36","Verizon @ 36'",,,,,,,,
"Colchester","** Old Hartford Rd. (Troop K)","self-supporting lattice","100","necs/dps @ 98'","T-Mobile @ 97'","Verizon @85'",,,,,,
"Ridgefield","** Catoonah Street","monopole","65","Cingular @ 58'",,,,,,,,
"Meriden","*** Lewis Avenue","rooftop",,"Cingular @ 50'","T-Mobile @ 51'","Sprint @ 55'",,,,,,
"Portland","** High Street","monopole","120'","T-Mobile @ 110'","clearwire @ 105'",,,,,,,
"Trumbull","**** Main Street","rooftop",,"T-Mobile @ 77'",,,,,,,,
"Clinton","** East Main Street","self-supporting lattice","67","T-Mobile @ 60'","Verizon @ 50'",,,,,,,
"New Britain","** Clinic Drive","small cell","32","Verizon @ 30.7'",,,,,,,,
"Brookfield","** Silvermine Road",,"4 @ 20'",,,,,,,,,
"East Hampton","*** Champion Hill","guyed lattice","250'",,,,,,,,,
"Ansonia","*** East Main Street","rooftop",,"Nextel @ 66'",,,,,,,,
"Harwinton","*** Weingart Rd","monopole","180","Cingular @ 180'","Verizon @ 170'","clearwire @ 145'",,,,,,
"Brooklyn","*** Brown Road","monopole","150","Cingular/AT&T @ 147'","T-Mobile @ 137'","Verizon @ 127'","Dish @ 138'",,,,,
"Bethel","* Stony Hill Rd","power mount","140","Nextel @ 156'","Cingular/AT&T @ 145'",,,,,,,
"Danbury","** Lake Avenue Extension","light pole","25'","AT&T @ 22' &25'",,,,,,,,
"Branford","** Sylvia Street","monopole","125","Cingular @ 100'","T-Mobile @ 122.5'","MetroPCS @ 112'",,,,,,
"East Lyme","Stone Ranch Military Res/ Pump House Hill Rd","self-supporting lattice","140","dps @ 140'","fbi @ 100'","T-Mobile @ 113'",,,,,,
"Killingly","*** Main Street","rooftop small cell","57","Verizon @ 64'",,,,,,,,
"East Haddam","*** Town Street","self-supporting lattice","45",,,,,,,,,
"West Haven","** Treat Street","rooftop",,"T-Mobile @ 30'",,,,,,,,
"Greenwich","Indian Field Road/I-** overpass","utility  pole","43","AT&T @ 42'",,,,,,,,
"Chaplin","*** Palmer Road (Lot **)","monopole","150","Verizon @ 150'","Sprint @ 120'","Cingular @ 127'","T-Mobile @ 116'",,,,,
"Easton","*** Everett Road","monopole","158","Cingular/AT&T @ 118'","Sprint @ 158'","Verizon @ 128'","DISH @ 108'",,,,,
"North Haven","* Dwight St.","monopole","150","T-Mobile @ 130'","Cingular/AT&T @ 140'",,,,,,,
"Granby","** Petersen Road","power mount","100","Cingular @ 100'",,,,,,,,
"Enfield","* Anngina Drive","small cell","14","Verizon @ 21'",,,,,,,,
"Hamden","**** State Street","monopole","140","T-Mobile @ 132.5'","Verizon @ 136'",,,,,,,
"Hebron","** Main Street","self-supporting lattice","100'",,,,,,,,,
"Bloomfield","** East Dudley Town Road","water tank","150'","Cingular @ 125'","Sprint @ 124'","T-Mobile @ 125'",,,,,,
"New Haven","*** N. Frontage Road","rooftop",,"T-Mobile @ 154'",,,,,,,,
"Bristol","** Princeton Drive","water tank",,"AT&T @ 100'","Verizon @ 100'","T-Mobile @ 90'",,,,,,
"Naugatuck","*** Coen Street","church steeple",,"T-Mobile @ 61'",,,,,,,,
"Woodbridge","**** Johnson Road at Oak Lane Country Club(* Country Club Road)","power mount","81","T-Mobile @ 88'",,,,,,,,
"West Hartford","**** Albany Avenue","church cupola",,"Verizon",,,,,,,,
"Milford","****-**** Boston Post Road","monopole","115","Verizon @ 112'","AT&T @ 100","T-Mobile @ 88'",,,,,,
"Guilford","**** Long Hill Road","monopole","180","Sprint @ 177.5'","T-Mobile @ 128'","Verizon @ 145'","AT&T @ 167'",,,,,
"Waterbury","*** Sheffield Street","monopole","160","Cingular @ 137'","Verizon @ 147'","Nextel @ 127'","Dish @ 158'",,,,,
"Hamden","**** Dixwell Avenue","o-flagpole","100","T-Mobile @ 100'",,,,,,,,
"New Haven","**** Townsend Avenue","rooftop",,,,,,,,,,
"Danbury","** Lake Avenue","rooftop",,"MetroPCS/T-Mobile @ 47.5'",,,,,,,,
"Wallingford","*** Church Street","power mount","80","Cingular/AT&T @ 86/92'",,,,,,,,
"Norwalk","** Day Street","rooftop","50","T-Mobile @ 56'",,,,,,,,
"Stonington","* Cove Road","utility pole","30",,,,,,,,,
"Shelton","**** Bridgeport Avenue","rooftop","73","Verizon @ 73'",,,,,,,,
"Waterbury","*** Meadow St","rooftop","40","Cingular @ ?",,,,,,,,
"Southington","*** Hobart Drive","power mount","100'","T-Mobile @ 97'",,,,,,,,
"Bristol","Jasmine Street","utility pole","30","Verizon @ 30'",,,,,,,,
"Danbury","** Backus Avenue","utility pole","41","AT&T @ 40.5'",,,,,,,,
"New Haven","***-*** Grand Avenue","stealth rooftop chimney",,"Sprint @ 52'",,,,,,,,
"Enfield","Town Farm Rd (Ecology Drive)","guyed lattice","190","continental cablevision @ 185'","town @ various hts.","Dish @ 155'",,,,,,
"Westport","** Riverside Ave","rooftop","69' 8""","Cingular @ 69'","T-Mobile @ 57'","Verizon @ 73.2'",,,,,,
"Windham","*** Tower Road","water tower","73.8'","Cingular @ 64'","Verizon @ 73.8'",,,,,,,
"Windsor","*** Windsor Avenue","utility pole","26","Verizon @ 26'",,,,,,,,
"Branford","** Block Island Road","utility pole","22","Verizon @ 22'",,,,,,,,
"Waterbury","*** Highland Avenue","church steeple",,"Verizon @ 25'",,,,,,,,
"Meriden","** Willow Street","rooftop",,"Cingular @ 131'","Cingular/AT&T @ 130'","Nextel @ 142'8""",,,,,,
"South Windsor","Ellington Road","utility pole","36","Verizon @ 36'",,,,,,,,
"Southington","Queen Street","utility pole","35","Verizon @ 35'",,,,,,,,
"Greenwich","East Elm Street","utility pole","32","Verizon @ 32'",,,,,,,,
"Stamford","*** Highridge Road","rooftop","70","Sprint @ 69.5'",,,,,,,,
"Wallingford","** Wayne Road","self-supporting lattice","80","Cingular @ 70/80'","Verizon @ 65/73'","pagenet @ 55'","Cingular/AT&T @ 87'",,,,,
"Torrington","**** Highland Avenue","guyed lattice","260","Nextel @ 200'","lac @ 205'","marcus @ 60/100'","Cingular @ 245'",,,,,
"Redding","** Wayside Lane","other (flagpole)","120","Cingular/AT&T @ 117/109'","T-Mobile @ 84'",,,,,,,
"Mansfield","* North Eagleville Road","church steeple",,"Verizon @ 85'","AT&T @ 66'",,,,,,,
"Somers","Route *** and *th District Road/*** Main Street","monopole","190","Sprint @ 187'","Cingular/AT&T @ 168'","T-Mobile @ 155'","Verizon @ 178'","town @ 115'/128/194'","MetroPCS @ 150'",,,
"Hamden","*** Benham St","guyed lattice","92","Verizon @ 64'","Cingular @ 54'","T-Mobile @ 70'",,,,,,
"Meriden","*** East Main St","gas station sign","62","Verizon @ 48'",,,,,,,,
"Monroe","*** Guinea Rd (*** Guinea Road)","guyed lattice","140","housatonic catv @ 120'","crown @ 55/65/73/90'","Verizon @ 103/140'","pagenet @ 25/75/141'",,,,,
"New Haven","*** Prospect Street","rooftop",,"Verizon @ 56'","new Cingular @ 63'2""","Sprint @ 60'",,,,,,
"Cromwell","*** West Street","monopole","54","T-Mobile @ 51'",,,,,,,,
"Willington","** Turnpike Road","monopole","170","Cingular/AT&T @ 170'","T-Mobile @ 159'","Cingular @ 170'","Dish @ 149'",,,,,
"Newington","*** Willard Ave","monopole","180","Nextel @ 120'","Verizon @ 110'","Cingular/AT&T @ 160'","Sprint @ 140'","town @ 185'","clearwire @ 160'",,,
"Sterling","* Exeter Drive","monopole","140","Verizon @ 137'","Cingular @ 127'","T-Mobile @ 120'","DISH @ 95'",,,,,
"Simsbury","*** Grist Mill Road","monopole","150","Cingular @ 150'","Verizon @ 140'","Nextel @ 130'","Sprint @ 120'","T-Mobile @ 110'","nesm @ 100'","town @ 90'","MetroPCS @ 133'","Dish @ 110'"
"Hartford","*** Wethersfield Avenue","light pole","30'","A&T @31' 6""",,,,,,,,
"Lebanon","*** Goshen Hill Road","other (flagpole)","156","Cingular/AT&T @ 130'",,,,,,,,
"New Britain","** Franklin Square","rooftop","45","Verizon @ 52'",,,,,,,,
"Hartford","*** Bartholomew Avenue","rooftop",,"Verizon @ 58.1'",,,,,,,,
"Groton","*** Welles Road","monopole","120","Sprint @ 120'",,,,,,,,
"Meriden","**** East Main Street","rooftop","43","Verizon @ 43'",,,,,,,,
"Hartford","*** Maple Avenue","rooftop",,"T-Mobile @ 52'",,,,,,,,
"New Haven","**** Whalley Avenue","rooftop","58'","T-Mobile @ 67'","Verizon @ 58'",,,,,,,
"Wethersfield","*** Silas Deane Hwy","monopole","120","Verizon @ 90'","MetroPCS @ 105'",,,,,,,
"Manchester","*** Olcott St.","self-supporting lattice","200","Sprint @ 120'",,,,,,,,
"Hamden","Pine Rock Avenue","utility pole","34","Verizon @ 34'",,,,,,,,
"Mansfield","*** Bolton Road (Nathan Hale Inn)","rooftop",,"Cingular @ 60'","Verizon @ 47'",,,,,,,
"Killingworth","*** Route **","self-supporting lattice","100","American Messaging Service",,,,,,,,
"Norwich","*** Old Salem Road","power mount","88","Sprint @ 83'",,,,,,,,
"New London","*** Bank Street","rooftop  mounted monopole","73","Verizon @ 70",,,,,,,,
"Plainfield","** East Main St","sign","87' 6""",,,,,,,,,
"Wilton","** Cannon Road","power mount","100","Cingular/AT&T 2 105'",,,,,,,,
"New Hartford","**** Litchfield Turnpike","other (bell tower)","125","Verizon @ 112'","Cingular @ 102'",,,,,,,
"Colchester","** Westchester St","monopole","180","Verizon @ 167'","Cingular/AT&T @ 159'","Dish @ 147'",,,,,,
"Canterbury","** Westminster Road","monopole","180","Verizon @ 170'","Cingular/AT&T @ 160'","Dish @ 141'",,,,,,
"Middletown","**** South Main St","monopole","158","Verizon @ 156'","Sprint/clearwire @ 147'","T-Mobile 137'","Nextel @ 125'","MetroPCS @ 116'","Cingular @ 157'","Dish @ 97'",,
"Hartford","** Woodland Street","rooftop",,"T-Mobile @ 118'",,,,,,,,
"Danbury","** Newtown Road","utility pole","36","AT&T @ 36'",,,,,,,,
"Oxford","*** Oxford Road","monopole","150","Cingular @ 137'","Verizon @ 147'","Dish @ 127'",,,,,,
"Montville","** Cook Street","guyed lattice","180","Cingular @ 177'","Verizon @ 168'","T-Mobile @ 150'","Nextel @ 140'",,,,,
"Avon","** Ridgewood Road","water tank","66","Cingular @ 55'","Verizon @ 66'",,,,,,,
"Salisbury","*** Lime Rock Road (Site *)","small cell","21","Verizon @ 25'",,,,,,,,
"Waterford","*** Boston Post Road","utility pole","36","Verizon @ 36.5'",,,,,,,,
"Barkhamsted","* Old Farm Road","monopole","145","Verizon @ 145'","Cingular @ 135'","T-Mobile @ 125'",,,,,,
"New Britain","*** Osgood Avenue","steeple",,"T-Mobile @ 70'",,,,,,,,
"Farmington","Rattlesnake Mountain/*** Colt Highway","guyed lattice","1292","united cable@ 500'","Verizon @ 240'/87'","xm @ 460'","Sprint @ 160'","Cingular @ 140'","mediaflo @1132'",,,
"Watertown","**** Main Street","utility pole","32","Verizon @ 32'",,,,,,,,
"Bridgeport","*** Grant Street","rooftop",,"Verizon @ 144'","Sprint @ 140'",,,,,,,
"Norwalk","* Charles Marshall Dr","power mount","95","T-Mobile @ 104/114'","Sprint @ 103'",,,,,,,
"South Windsor","*** Sand Hill Road","monopole","190","Cingular @ 170'","Verizon @ 140'","T-Mobile @ 160'","Nextel @ 150'","MetroPCS @ 180'","DISH @ 150'",,,
"Hampton","*** Main Street","steeple",,"Cingular @ 55'",,,,,,,,
"Fairfield","*** Old Academy Road","church steeple","90","T-Mobile @ 80'",,,,,,,,
"Rocky Hill","*** Corporate Place","in-building IP access",,"T-Mobile",,,,,,,,
"Danbury","* West View Drive","self-supporting lattice","133","T-Mobile @ 50'",,,,,,,,
"Norwalk","*** Newtown Avenue","utility pole","27","Verizon @ 27.5'",,,,,,,,
"Colchester","Buckley Hill Rd","self-supporting lattice","200","dot @ 200'",,,,,,,,
"Bethel","** Francis J. Clarke Circle","monopole","155","Nextel @ 146'","Cingular/AT&T @ 125'","Sprint @ 157'","Verizon @ 136'","T-Mobile @ 117'",,,,
"Derby","*** Division Street","rooftop",,"Verizon @ 30'",,,,,,,,
"Bridgeport","Vine Street","utility pole","36","Verizon @ 36.5'",,,,,,,,
"Darien","** Thorndal Circle","in-building IP access",,"T-Mobile",,,,,,,,
"Greenwich","*** Riversville Rd","monopole","150","Cingular @ 150'","Nextel @ 107'","Verizon @ 140'","T-Mobile @ 162'","Dihs @ 132'",,,,
"Glastonbury","** Woodland Street","monppole or monopine","150","T-Mobile @ 146'","AT&T @ 136'","Dish @ 125'","Verizon @ 115'",,,,,
"Durham","Wallingford Road","utility pole","37","Verizon @ 37'",,,,,,,,
"Stamford","*** Long Ridge Road","rooftop",,"Sprint",,,,,,,,
"Cheshire","*** Mixville Road","smokestack",,"Cingular @ 91'","T-Mobile @ 89'",,,,,,,
"Hamden","*** Denslow Hill Road","guyed lattice","200","Dish @ 185",,,,,,,,
"Prospect","*** Waterbury Road","guyed lattice","195","Cingular/AT&T @ 148/140'","T-Mobile @ 130'",,,,,,,
"West Hartford","Mountain Road","utility pole","31","Verizon @ 31.5'",,,,,,,,
"New London","*** Broad Street","rooftop","64.5'","Verizon @ 58'",,,,,,,,
"Bridgeport","*** Newfield Ave.","billboard",,"Sprint @ 69.2'",,,,,,,,
"Vernon","Union Street","utility pole","31","Verizon @ 31'",,,,,,,,
"Bridgeport","**** North Avenue","rooftop",,"Cingular @ 100'","Sprint @ 98'","Nextel @ 100'","MetroPCS @ 90'",,,,,
"Hamden","**** Wintergreen Ave (West Rock Park)(**** Wintergreen)","self-supporting lattice","195","Nextel @ 150'","MetroPCS @ 160'","clearwire @ 140'",,,,,,
"Waterford","** Manitok Hill Rd (aka Rock Ridge Road)","self-supporting lattice","137","Nextel @ 127'","Cingular/AT&T @ 97'","Verizon @ 107'","T-Mobile @ 117'","Sprint @ 137'","Dish @ 87'",,,
"Groton","Navy Exchange","in-building IP access",,"T-Mobile",,,,,,,,
"Avon","** Redwood Lane","monopole","105","T-Mobile @ 105'","Cingular/AT&T @ 100'","MetroPCS @ 77'","Sprint @ 87'","Dish @ 65'",,,,
"New Canaan","*** South Avenue (Waveny Park)","water tank",,"Cingular @ 119'","Sprint @ 122'","T-Mobile @ 82/133'","Verizon @ 122'","Nextel @ 134'",,,,
"Trumbull","** Nutmeg Drive","in-building",,"T-Mobile",,,,,,,,
"Stamford","**** Washington Blvd","rooftop",,"Verizon @ 134'",,,,,,,,
"Orange","Hunting Hill Place","power mount","100","T-Mobile @ 112'",,,,,,,,
"Bolton","** South Street","monopole","120","Cingular/AT&T @ 120'","MetroPCS @ 99'","Verizon @ 107'","Dish @ 89'",,,,,
"North Branford","** Reeds Gap Rd","self-supporting lattice","85","Verizon @ 85'","Nextel @ 80'","Cingular/AT&T @ 68'","Verizon @ 95'",,,,,
"Hartland","*** Hartland Boulevard","monopole","120","Cingular @ 120'",,,,,,,,
"East Hartford","*** Riverside Drive","rooftop",,"Verizon @ 87'",,,,,,,,
"Stratford","**** Broadbridge Ave","rooftop","64' 6""","T-Mobile @ 63'",,,,,,,,
"Brookfield","** Greys Bridge Road",,"20'",,,,,,,,,
"Hartford","** Webster Street","rooftop","50'","T-Mobile @ 48'","MetroPCS @ 40'",,,,,,,
"Fairfield","** Walls Drive","rooftop",,"T-Mobile @ 59'","Cingular @ 20'",,,,,,,
"East Haven","** Commerce Street","monopole","70","Nextel @ 67'",,,,,,,,
"Manchester","*** Chapel Road","rooftop",,"Sprint",,,,,,,,
"Burlington","Johnnycake Mountain","self-supporting lattice","100'",,,,,,,,,
"Stamford","*** High Ridge Road","steeple",,"Cingular @ 45'","T-Mobile @ 63'",,,,,,,
"Portland","Gospel Lane","utility pole","35","Verizon @ 35'",,,,,,,,
"Bridgewater","*** Second Hill Road","monopole","160","AT&T @ 157'","Dish @ 145'",,,,,,,
"Danbury","*** Main Street","rooftop","46","Verizon @ 45.5'",,,,,,,,
"New London","** Washington St.","building mounted lattice tower","204","Cingular @ 192","Sprint @ 170'",,,,,,,
"Bethel","** Shelley Road","power mount","78","Sprint @ 93'",,,,,,,,
"Stonington","** Mechanic Street","o-flagpole","150","Cingular/AT&T @ 129/135'","T-Mobile @ 100'",,,,,,,
"Glastonbury","Paxton Way","monopole","150","Sprint @ 147'",,,,,,,,
"Tolland","Merrow Road","utility pole","45","Verizon @ 45'",,,,,,,,
"Hartford","*** Bloomfield Avenue","rooftop","65'","Cingular @ 65'","T-Mobile @ 49'","Verizon @ 57.5'",,,,,,
"Hartford","*** Capitol Ave","building mount","90","American Messaging Service",,,,,,,,
"Old Saybrook","*** Ingham Hill Rd","monopole","150","Cingular @ 150'","T-Mobile @ 162'","Verizon @ 122'",,,,,,
"Windsor Locks","** Ella Grasso Turnpike","woodpole","34","AT&T @35'",,,,,,,,
"East Granby","** South Main Street","monopole","97","Cingular/AT&T @ 77'","T-Mobile @ 87'","Verizon @ 67'","MetroPCS @ 82'","Dish @ 48'",,,,
"Bolton","** Carpenter Road","monopole","140","AT&T @110'","T-Mobile @ 127'","Verizon @ 139'","Sprint @ 117'","MetroPCS @ 97'",,,,
"Cromwell","***, ***, ***, and ***R Main street","monopole","120","Verizon @ 120'",,,,,,,,
"Montville","*** Butlertown","guyed lattice","195","Cingular @ 170'",,,,,,,,
"Stratford","**** Huntington Road","small cell","14","Verizon @ 21.3'",,,,,,,,
"Stamford","*** Long Ridge Road","in-building IP access",,"T-Mobile",,,,,,,,
"New Haven","*** Washington Avenue","rooftop",,,,,,,,,,
"Granby","** North Granby Road","monopole","150","Nextel @ 150'","T-Mobile @ 120'","Cingular @ 140'","Cingular/AT&T @ 100'",,,,,
"Sharon","* Surdan Mountain Road","self-supporting lattice","195","Cingular @ 173'","T-Mobile @ 140'","Verizon @ 160'",,,,,,
"Norwalk","*** Main Avenue (** Glover Avenue)","rooftop/in-building",,"T-Mobile",,,,,,,,
"Waterbury","Reidville Drive","utility pole","31","Verizon @ 31'",,,,,,,,
"Stamford","*** Long Ridge Road","rooftop",,"Verizon",,,,,,,,
"Putnam","** Front Street","rooftop",,"T-Mobile @ 57'","Verizon @ 58'",,,,,,,
"Fairfield","*** Morehouse Road","self-supporting lattice","84","Cingular/AT&T @ 84'","Sprint @ 101'","T-Mobile @ 95'",,,,,,
"West Haven","* Campbell Avenue","rooftop",,"T-Mobile @ 118'",,,,,,,,
"East Windsor","*** Prospect Hill Road","water tower","83' 6""","Cingular @ 75'","Verizon @ 88'","Sprint @ 78'","T-Mobile @ 95'",,,,,
"Hartford","*** Windsor Street","rooftop","80'","Cingular @ 80'","MetroPCS/T-Mobile @ 55'","Sprint @ 65'",,,,,,
"Hartford","*** Broad Street","rooftop",,"Sprint @ 102'/92'",,,,,,,,
"West Hartford","**** New Britain Ave","self-supporting lattice","180","T-Mobile @ 165'","Nextel @ 155'","Cingular @ 180'",,,,,,
"Monroe","*** Moose Hill Road (*** Moose Hill Road)","monopole","150","Nextel @ 107.5'","T-Mobile @ 117'","Sprint @ 150'","Cingular @ 137.5'","town @ 150'","DISH @ 110'",,,
"East Hartford","*** Hills Street","monopine","110","AT&T @ 100'","EHFD @ 110'","Verizon @ 90'","DISH @ 80'",,,,,
"Stamford","*** Glenbrook Road","monopole","75","cl&p @ 78' and 60'","yankee gas @ 70'",,,,,,,
"Southington","*** Queen Street","utility pole","35","Verizon @ 35.8'",,,,,,,,
"West Haven","*** Campbell Avenue","rooftop",,"T-Mobile @ 148'","Sprint @ 140'",,,,,,,
"East Lyme","King Arthur Drive","AcCELLerator","90","T-Mobile @ 97'",,,,,,,,
"New Britain","*** Osgood Avenue (*** Slater Road)","rooftop",,"Cingular/AT&T @ ?",,,,,,,,
"Rocky Hill","** (**) Inwood Road","monopole","180","Cingular @ 167'","Nextel @ 180'",,,,,,,
"Meriden","** Elm St.","rooftop","70","Verizon @ 68'","Dish @ %^'",,,,,,,
"Manchester","*** Olcott Street","power mount","155","Cingular @ 165'","MetroPCS @ 144'",,,,,,,
"Windsor","*** Northfield Drive","in-building IP access",,"T-Mobile",,,,,,,,
"Westbrook","**** Boston Post Road","monopole","130'","Verizon @ 126","AT&T @ 115","T-Mobile @ 104",,,,,,
"Guilford","*** Church Street","self-supporting lattice","40'",,,,,,,,,
"Wolcott","*** East Street","self-supporting lattice","180","Verizon @ 180'","Cingular @ 160'","T-Mobile @ 190'",,,,,,
"Greenwich","Butternut Hollow Rd","self-supporting lattice","180","Verizon @ 100'/130'","dps @ 177'/105'","Cingular @ 150'","cl&p @ 165'","T-Mobile @ 130'",,,,
"Naugatuck","* (***) Conrad Street","water tank","75'","T-Mobile @ 67'","Sprint @ 85'",,,,,,,
"Westbrook","*** Spencer Plains Rd","self-supporting lattice","180","dot @ 175'","dps @ 180'","Cingular @ 150'","valley shore comm @ 120'","T-Mobile @ 135'","Sprint @ 140'",,,
"Newtown","** Main Street","church steeple",,"Sprint @ 58'","T-Mobile @ 74'","MetroPCS @ 57'",,,,,,
"Wolcott","*** Central Avenue","monopole","120",,,,,,,,,
"Windsor","*** Windsor Ave","power mount","110","Sprint @ 123'",,,,,,,,
